id,candidate_id,candidate_number,external_job_id,response,responded_at,created_at,updated_at,stale_reason
cmpo76ny0000q1duo9lx2ihgb,cmnrbjwjt00001drwft72bmr4,5004292,5832,WANT_TO_APPLY,2026-05-27T15:07:06.025Z,2026-05-27T15:07:05.016Z,2026-05-27T15:07:06.058Z,CLEARED(UNANSWERED)
cmpo8kivh00241duobl223pdr,cmnrbjwjt00001drwft72bmr4,5004292,4146,WANT_TO_APPLY,2026-05-27T15:45:52.630Z,2026-05-27T15:45:51.245Z,2026-05-27T15:45:52.742Z,CLEARED(UNANSWERED)
cmpo8vd3w002e1duot2d83thf,cmnrbjwjt00001drwft72bmr4,5004292,4140,WANT_TO_APPLY,2026-05-27T15:54:18.099Z,2026-05-27T15:54:16.988Z,2026-05-27T15:54:18.139Z,CLEARED(UNANSWERED)
cmomsgpqh004s1dlmvjhihb3l,cmolavpzy002f1dmogbdr8738,5004595,4462,WANT_TO_APPLY,2026-05-22T05:33:01.013Z,2026-05-01T10:47:31.145Z,2026-05-22T05:33:02.544Z,EXCLUDED
cmomrkugp003z1dlmpphqbg7a,cmolavpzy002f1dmogbdr8738,5004595,4489,WANT_TO_APPLY,2026-05-22T05:33:01.013Z,2026-05-01T10:22:44.281Z,2026-05-22T05:33:02.588Z,EXCLUDED
cmomrn89200471dlmamzcqmcl,cmolavpzy002f1dmogbdr8738,5004595,4472,INTERESTED,2026-05-01T11:02:14.640Z,2026-05-01T10:24:35.462Z,2026-05-02T22:51:44.222Z,EXCLUDED
cmomrkns2003y1dlm5ouiazpp,cmolavpzy002f1dmogbdr8738,5004595,4492,INTERESTED,2026-05-01T11:02:14.640Z,2026-05-01T10:22:35.617Z,2026-05-02T22:51:44.079Z,EXCLUDED
cmomrif2n003x1dlmrmnd7ujw,cmolavpzy002f1dmogbdr8738,5004595,4503,INTERESTED,2026-05-01T11:02:14.640Z,2026-05-01T10:20:51.023Z,2026-05-02T22:51:44.045Z,EXCLUDED
cmp6eq2bm00471dqqfajy4rx8,cmolavpzy002f1dmogbdr8738,5004595,5000,INTERESTED,2026-05-22T05:33:01.013Z,2026-05-15T04:18:16.258Z,2026-05-22T05:33:02.740Z,EXCLUDED
cmp6eoxsj00431dqq5u4ybeqo,cmolavpzy002f1dmogbdr8738,5004595,5008,INTERESTED,2026-05-22T05:33:01.013Z,2026-05-15T04:17:23.731Z,2026-05-22T05:33:03.092Z,EXCLUDED
cmp6er3of004b1dqq0n2pbx6d,cmolavpzy002f1dmogbdr8738,5004595,5009,INTERESTED,2026-05-22T05:33:01.013Z,2026-05-15T04:19:04.671Z,2026-05-22T05:33:03.143Z,EXCLUDED
cmooxrac0000f1dmr03bzqe3u,cmmoi0ypd00041dukxj973xuc,5004163,3508,WANT_TO_APPLY,2026-04-12T02:59:18.243Z,2026-05-02T22:51:14.832Z,2026-05-02T22:51:14.832Z,EXCLUDED
cmooxranw000i1dmrnu3ajcxv,cmmoi0ypd00041dukxj973xuc,5004163,3527,WANT_TO_APPLY,2026-04-12T02:59:18.243Z,2026-05-02T22:51:15.260Z,2026-05-02T22:51:15.260Z,EXCLUDED
cmooxrapu000j1dmrt3wb4rgw,cmmoi0ypd00041dukxj973xuc,5004163,3507,WANT_TO_APPLY,2026-04-12T07:52:00.855Z,2026-05-02T22:51:15.330Z,2026-05-02T22:51:15.330Z,EXCLUDED
cmr440i9c000d1dpasww76nrm,cmmn4jipg00011dqt23w1q3bk,5999999,3220,INTERESTED,2026-07-03T07:52:12.828Z,2026-07-02T23:02:20.016Z,2026-07-03T07:52:12.891Z,CLEARED(UNANSWERED)
cmooxrryn005q1dmrski33dm9,cmnzhxckr001n1dmv2yb81sbb,5004359,3839,INTERESTED,2026-04-17T07:16:07.378Z,2026-05-02T22:51:37.679Z,2026-05-02T22:51:37.679Z,CLEARED(PENDING)
cmooxrrzj005r1dmrwhxfr7g1,cmnzhxckr001n1dmv2yb81sbb,5004359,3845,INTERESTED,2026-04-17T07:16:07.378Z,2026-05-02T22:51:37.711Z,2026-05-02T22:51:37.711Z,CLEARED(PENDING)
cmooxrs0l005s1dmrxfqkegf1,cmnzhxckr001n1dmv2yb81sbb,5004359,3848,INTERESTED,2026-04-17T07:16:07.378Z,2026-05-02T22:51:37.749Z,2026-05-02T22:51:37.749Z,CLEARED(PENDING)
cmooxrs1f005t1dmr121jtcnc,cmnzhxckr001n1dmv2yb81sbb,5004359,3849,INTERESTED,2026-04-17T07:16:07.378Z,2026-05-02T22:51:37.779Z,2026-05-02T22:51:37.779Z,CLEARED(PENDING)
cmooxrs2a005u1dmra7cr4q3f,cmnzhxckr001n1dmv2yb81sbb,5004359,3853,INTERESTED,2026-04-17T07:16:07.378Z,2026-05-02T22:51:37.810Z,2026-05-02T22:51:37.810Z,CLEARED(PENDING)
